id,name,short_name,description,status,updated_at,created_at
1,posuere cubilia,posuere cubilia,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
2,lacus purus,lacus purus,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
3,tortor quis,tortor quis,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
4,sem,sem,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
5,tempor convallis,tempor convallis,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
6,metus arcu,metus arcu,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
7,quam a,quam a,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
8,amet consectetuer,amet consectetuer,Sed ante. Vivamus tortor. Duis mattis egestas metus.,inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
9,praesent,praesent,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
10,at velit,at velit,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
11,tempor convallisete,tempor convallisete,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
12,nulla ut,nulla ut,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
13,nulla,nulla,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
14,quisque id,quisque id,Integer ac leo.,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
15,volutpat erat,volutpat erat,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
16,donec,donec,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",deleted,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
17,sapien,sapien,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
18,dapibus,dapibus,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
19,pellentesque,pellentesque,Nunc rhoncus dui vel sem. Sed sagittis.,active,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
20,velit,velit,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",inactive,2020-01-01 00:00:00.000000,2020-01-01 00:00:00.000000
